chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__N,N-Dimethylethane-1,2-diammonium iodide (M)","prepare__N,N-Dimethylethane-1,2-diammonium iodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.157,2019-11-19T18_01_42.850106+00_00_LBL_E5
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.15199999999999997,2019-11-19T18_01_42.850106+00_00_LBL_G5
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.020999999999999998,2019-11-19T18_01_42.850106+00_00_LBL_A7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.102,2019-11-19T18_01_42.850106+00_00_LBL_C7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.027,2019-11-19T18_01_42.850106+00_00_LBL_E7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.006,2019-11-19T18_01_42.850106+00_00_LBL_G7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.06599999999999999,2019-11-19T18_01_42.850106+00_00_LBL_A9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.108,2019-11-19T18_01_42.850106+00_00_LBL_C9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.13099999999999998,2019-11-19T18_01_42.850106+00_00_LBL_E9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.007,2019-11-19T18_01_42.850106+00_00_LBL_G9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.026,2019-11-19T18_01_42.850106+00_00_LBL_A11
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.019999999999999997,2019-11-19T18_01_42.850106+00_00_LBL_E11
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.9346814230541978,2.41 gram,1.361836637041048,2.62 gram,9.235736274484486,4.0 milliliter,5.592977670938227,1,0.15199999999999997,2019-11-19T18_01_42.850106+00_00_LBL_G11
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.07200000000000001,2019-12-19T20_56_02.291086+00_00_LBL_A1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.03799999999999999,2019-12-19T20_56_02.291086+00_00_LBL_C1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.043149190124604,2.9 gram,1.1136213821592311,2.31 gram,9.636645974696597,4.5 milliliter,6.0303320527896425,4,0.09099999999999998,2019-12-19T20_56_02.291086+00_00_LBL_C1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.014,2019-12-19T20_56_02.291086+00_00_LBL_E1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.043149190124604,2.9 gram,1.1136213821592311,2.31 gram,9.636645974696597,4.5 milliliter,6.0303320527896425,4,0.125,2019-12-19T20_56_02.291086+00_00_LBL_E1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.008,2019-12-19T20_56_02.291086+00_00_LBL_G1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.043149190124604,2.9 gram,1.1136213821592311,2.31 gram,9.636645974696597,4.5 milliliter,6.0303320527896425,4,0.059,2019-12-19T20_56_02.291086+00_00_LBL_G1
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.018000000000000002,2019-12-19T20_56_02.291086+00_00_LBL_A3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.109,2019-12-19T20_56_02.291086+00_00_LBL_C3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.061,2019-12-19T20_56_02.291086+00_00_LBL_E3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.089,2019-12-19T20_56_02.291086+00_00_LBL_G3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.043149190124604,2.9 gram,1.1136213821592311,2.31 gram,9.636645974696597,4.5 milliliter,6.0303320527896425,4,0.141,2019-12-19T20_56_02.291086+00_00_LBL_G3
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.109,2019-12-19T20_56_02.291086+00_00_LBL_A5
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.116,2019-12-19T20_56_02.291086+00_00_LBL_C5
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.039,2019-12-19T20_56_02.291086+00_00_LBL_E5
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.043149190124604,2.9 gram,1.1136213821592311,2.31 gram,9.636645974696597,4.5 milliliter,6.0303320527896425,4,0.06999999999999999,2019-12-19T20_56_02.291086+00_00_LBL_E5
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.086,2019-12-19T20_56_02.291086+00_00_LBL_G5
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.074,2019-12-19T20_56_02.291086+00_00_LBL_A7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.043149190124604,2.9 gram,1.1136213821592311,2.31 gram,9.636645974696597,4.5 milliliter,6.0303320527896425,4,0.024999999999999998,2019-12-19T20_56_02.291086+00_00_LBL_A7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.007,2019-12-19T20_56_02.291086+00_00_LBL_C7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.112,2019-12-19T20_56_02.291086+00_00_LBL_E7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.043149190124604,2.9 gram,1.1136213821592311,2.31 gram,9.636645974696597,4.5 milliliter,6.0303320527896425,4,0.041,2019-12-19T20_56_02.291086+00_00_LBL_E7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.018999999999999996,2019-12-19T20_56_02.291086+00_00_LBL_G7
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.06599999999999999,2019-12-19T20_56_02.291086+00_00_LBL_A9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.015,2019-12-19T20_56_02.291086+00_00_LBL_C9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.043149190124604,2.9 gram,1.1136213821592311,2.31 gram,9.636645974696597,4.5 milliliter,6.0303320527896425,4,0.058,2019-12-19T20_56_02.291086+00_00_LBL_C9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.011,2019-12-19T20_56_02.291086+00_00_LBL_E9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.034999999999999996,2019-12-19T20_56_02.291086+00_00_LBL_G9
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.109,2019-12-19T20_56_02.291086+00_00_LBL_A11
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.13899999999999998,2019-12-19T20_56_02.291086+00_00_LBL_C11
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.077,2019-12-19T20_56_02.291086+00_00_LBL_E11
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",1.0408664886838,3.17 gram,1.5270117989949636,3.47 gram,8.796567534467748,4.5 milliliter,6.6062330420243125,1,0.009999999999999998,2019-12-19T20_56_02.291086+00_00_LBL_G11
"Dimethylformamide__Lead_Diiodide__N,N-Dimethylethane-1,2-diammonium_iodide",0.5073025953575044,0.1602 gram,0.7308274873834666,0.1722 gram,10.934464761459685,0.58 milliliter,0.6849913409836339,1,0.18,2020-11-25T23_09_35.145018+00_00_HC_A1
