chemsys,molarity__4-methoxy-phenethylammonium-iodide (M),prepare__4-methoxy-phenethylammonium-iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.12299999999999998,2020-02-05T15_53_46.082709+00_00_LBL_E7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.052,2020-02-05T15_53_46.082709+00_00_LBL_G7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.106,2020-02-05T15_53_46.082709+00_00_LBL_C9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.043,2020-02-05T15_53_46.082709+00_00_LBL_E9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.068,2020-02-05T15_53_46.082709+00_00_LBL_G9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.061,2020-02-05T15_53_46.082709+00_00_LBL_A11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.004,2020-02-05T15_53_46.082709+00_00_LBL_C11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.049,2020-02-05T15_53_46.082709+00_00_LBL_E11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7959756168598806,2.58 gram,8.84718371875784,3.5 milliliter,5.146693592447166,2,0.102,2020-02-05T15_53_46.082709+00_00_LBL_G11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.002,2021-02-08T21_20_17.803967+00_00_HC_A1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.012,2021-02-08T21_20_17.803967+00_00_HC_C1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.019999999999999997,2021-02-08T21_20_17.803967+00_00_HC_E1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.007,2021-02-08T21_20_17.803967+00_00_HC_G1
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.003,2021-02-08T21_20_17.803967+00_00_HC_A3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.043,2021-02-08T21_20_17.803967+00_00_HC_C3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.008,2021-02-08T21_20_17.803967+00_00_HC_E3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.004999999999999999,2021-02-08T21_20_17.803967+00_00_HC_G3
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.002,2021-02-08T21_20_17.803967+00_00_HC_A5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.056999999999999995,2021-02-08T21_20_17.803967+00_00_HC_C5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.014,2021-02-08T21_20_17.803967+00_00_HC_E5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.06499999999999999,2021-02-08T21_20_17.803967+00_00_HC_G5
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.018000000000000002,2021-02-08T21_20_17.803967+00_00_HC_A7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.029,2021-02-08T21_20_17.803967+00_00_HC_C7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.12299999999999998,2021-02-08T21_20_17.803967+00_00_HC_E7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.052,2021-02-08T21_20_17.803967+00_00_HC_G7
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.106,2021-02-08T21_20_17.803967+00_00_HC_C9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.043,2021-02-08T21_20_17.803967+00_00_HC_E9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.068,2021-02-08T21_20_17.803967+00_00_HC_G9
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.061,2021-02-08T21_20_17.803967+00_00_HC_A11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.004,2021-02-08T21_20_17.803967+00_00_HC_C11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.049,2021-02-08T21_20_17.803967+00_00_HC_E11
4-methoxy-phenethylammonium-iodide__Gamma-Butyrolactone,1.7066997423572619,2.56 gram,9.05409466839307,3.74 milliliter,5.373928525839048,2,0.102,2021-02-08T21_20_17.803967+00_00_HC_G11
