chemsys,molarity__Formic Acid (M),prepare__Formic Acid,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.094,2019-05-30T20_58_22.535516+00_00_LBL_E11
Formic_Acid,26.504453617206167,5.86 milliliter,5.86,3,0.07200000000000001,2019-05-30T20_58_22.535516+00_00_LBL_G11
Formic_Acid,26.504453617206167,4.75 milliliter,4.75,4,0.135,2019-05-30T20_58_22.535516+00_00_LBL_G11
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.009999999999999998,2019-06-19T14_53_44.342960+00_00_LBL_A1
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.023,2019-06-19T14_53_44.342960+00_00_LBL_A1
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.004,2019-06-19T14_53_44.342960+00_00_LBL_C1
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.009000000000000001,2019-06-19T14_53_44.342960+00_00_LBL_C1
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.003,2019-06-19T14_53_44.342960+00_00_LBL_E1
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.101,2019-06-19T14_53_44.342960+00_00_LBL_G1
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.111,2019-06-19T14_53_44.342960+00_00_LBL_G1
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.018000000000000002,2019-06-19T14_53_44.342960+00_00_LBL_C3
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.009000000000000001,2019-06-19T14_53_44.342960+00_00_LBL_C3
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.265,2019-06-19T14_53_44.342960+00_00_LBL_E3
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.052,2019-06-19T14_53_44.342960+00_00_LBL_E3
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.001,2019-06-19T14_53_44.342960+00_00_LBL_G3
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.003,2019-06-19T14_53_44.342960+00_00_LBL_G3
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.018999999999999996,2019-06-19T14_53_44.342960+00_00_LBL_A5
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.001,2019-06-19T14_53_44.342960+00_00_LBL_A5
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.020999999999999998,2019-06-19T14_53_44.342960+00_00_LBL_C5
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.094,2019-06-19T14_53_44.342960+00_00_LBL_C5
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.008,2019-06-19T14_53_44.342960+00_00_LBL_E5
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.004999999999999999,2019-06-19T14_53_44.342960+00_00_LBL_E5
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.029,2019-06-19T14_53_44.342960+00_00_LBL_G5
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.012,2019-06-19T14_53_44.342960+00_00_LBL_G5
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.001,2019-06-19T14_53_44.342960+00_00_LBL_A7
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.029,2019-06-19T14_53_44.342960+00_00_LBL_A7
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.11299999999999999,2019-06-19T14_53_44.342960+00_00_LBL_C7
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.024999999999999998,2019-06-19T14_53_44.342960+00_00_LBL_C7
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.059,2019-06-19T14_53_44.342960+00_00_LBL_E7
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.001,2019-06-19T14_53_44.342960+00_00_LBL_E7
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.116,2019-06-19T14_53_44.342960+00_00_LBL_A9
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.087,2019-06-19T14_53_44.342960+00_00_LBL_A9
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.071,2019-06-19T14_53_44.342960+00_00_LBL_E9
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.018999999999999996,2019-06-19T14_53_44.342960+00_00_LBL_E9
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.004,2019-06-19T14_53_44.342960+00_00_LBL_G9
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.087,2019-06-19T14_53_44.342960+00_00_LBL_A11
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.208,2019-06-19T14_53_44.342960+00_00_LBL_A11
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.013,2019-06-19T14_53_44.342960+00_00_LBL_C11
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.06999999999999999,2019-06-19T14_53_44.342960+00_00_LBL_E11
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.031,2019-06-19T14_53_44.342960+00_00_LBL_E11
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,3,0.026,2019-06-19T14_53_44.342960+00_00_LBL_G11
Formic_Acid,26.504453617206167,8.0 milliliter,8.0,4,0.002,2019-06-19T14_53_44.342960+00_00_LBL_G11
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.023,2019-06-19T15_03_07.301134+00_00_LBL_A1
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.011,2019-06-19T15_03_07.301134+00_00_LBL_A1
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.001,2019-06-19T15_03_07.301134+00_00_LBL_C1
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.011,2019-06-19T15_03_07.301134+00_00_LBL_C1
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.25299999999999995,2019-06-19T15_03_07.301134+00_00_LBL_E1
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.155,2019-06-19T15_03_07.301134+00_00_LBL_E1
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.086,2019-06-19T15_03_07.301134+00_00_LBL_G1
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.047,2019-06-19T15_03_07.301134+00_00_LBL_G1
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.32199999999999995,2019-06-19T15_03_07.301134+00_00_LBL_A3
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.101,2019-06-19T15_03_07.301134+00_00_LBL_A3
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.058,2019-06-19T15_03_07.301134+00_00_LBL_C3
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.001,2019-06-19T15_03_07.301134+00_00_LBL_C3
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.22699999999999998,2019-06-19T15_03_07.301134+00_00_LBL_E3
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.001,2019-06-19T15_03_07.301134+00_00_LBL_E3
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.059,2019-06-19T15_03_07.301134+00_00_LBL_G3
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.011,2019-06-19T15_03_07.301134+00_00_LBL_G3
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.059,2019-06-19T15_03_07.301134+00_00_LBL_A5
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.020999999999999998,2019-06-19T15_03_07.301134+00_00_LBL_A5
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.016,2019-06-19T15_03_07.301134+00_00_LBL_C5
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.012,2019-06-19T15_03_07.301134+00_00_LBL_C5
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.07999999999999999,2019-06-19T15_03_07.301134+00_00_LBL_E5
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.034,2019-06-19T15_03_07.301134+00_00_LBL_E5
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.007,2019-06-19T15_03_07.301134+00_00_LBL_A7
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.15199999999999997,2019-06-19T15_03_07.301134+00_00_LBL_A7
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.009999999999999998,2019-06-19T15_03_07.301134+00_00_LBL_C7
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.027,2019-06-19T15_03_07.301134+00_00_LBL_C7
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.034,2019-06-19T15_03_07.301134+00_00_LBL_E7
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.063,2019-06-19T15_03_07.301134+00_00_LBL_E7
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.020999999999999998,2019-06-19T15_03_07.301134+00_00_LBL_G7
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.002,2019-06-19T15_03_07.301134+00_00_LBL_A9
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.007,2019-06-19T15_03_07.301134+00_00_LBL_A9
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.258,2019-06-19T15_03_07.301134+00_00_LBL_C9
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.001,2019-06-19T15_03_07.301134+00_00_LBL_C9
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.19699999999999998,2019-06-19T15_03_07.301134+00_00_LBL_E9
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.041,2019-06-19T15_03_07.301134+00_00_LBL_E9
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.157,2019-06-19T15_03_07.301134+00_00_LBL_G9
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.05499999999999999,2019-06-19T15_03_07.301134+00_00_LBL_G9
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.048,2019-06-19T15_03_07.301134+00_00_LBL_A11
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.003,2019-06-19T15_03_07.301134+00_00_LBL_A11
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.009999999999999998,2019-06-19T15_03_07.301134+00_00_LBL_C11
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.001,2019-06-19T15_03_07.301134+00_00_LBL_C11
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.052,2019-06-19T15_03_07.301134+00_00_LBL_E11
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.077,2019-06-19T15_03_07.301134+00_00_LBL_E11
Formic_Acid,26.504453617206167,5.12 milliliter,5.12,3,0.13899999999999998,2019-06-19T15_03_07.301134+00_00_LBL_G11
Formic_Acid,26.50445361720617,3.84 milliliter,3.8400000000000003,4,0.004,2019-06-19T15_03_07.301134+00_00_LBL_G11
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.067,2019-10-30T19_19_05.368929+00_00_LBL_A1
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.056999999999999995,2019-10-30T19_19_05.368929+00_00_LBL_C1
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.016,2019-10-30T19_19_05.368929+00_00_LBL_E1
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.128,2019-10-30T19_19_05.368929+00_00_LBL_G1
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.06999999999999999,2019-10-30T19_19_05.368929+00_00_LBL_A3
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.108,2019-10-30T19_19_05.368929+00_00_LBL_C3
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.045,2019-10-30T19_19_05.368929+00_00_LBL_E3
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.047,2019-10-30T19_19_05.368929+00_00_LBL_G3
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.078,2019-10-30T19_19_05.368929+00_00_LBL_A5
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.001,2019-10-30T19_19_05.368929+00_00_LBL_C5
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.003,2019-10-30T19_19_05.368929+00_00_LBL_E5
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.12,2019-10-30T19_19_05.368929+00_00_LBL_G5
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.006,2019-10-30T19_19_05.368929+00_00_LBL_A7
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.006,2019-10-30T19_19_05.368929+00_00_LBL_C7
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.056,2019-10-30T19_19_05.368929+00_00_LBL_E7
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.012,2019-10-30T19_19_05.368929+00_00_LBL_G7
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.020999999999999998,2019-10-30T19_19_05.368929+00_00_LBL_A9
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.034,2019-10-30T19_19_05.368929+00_00_LBL_C9
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.094,2019-10-30T19_19_05.368929+00_00_LBL_E9
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.034,2019-10-30T19_19_05.368929+00_00_LBL_G9
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.08499999999999999,2019-10-30T19_19_05.368929+00_00_LBL_A11
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.07200000000000001,2019-10-30T19_19_05.368929+00_00_LBL_C11
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.028,2019-10-30T19_19_05.368929+00_00_LBL_E11
Formic_Acid,26.504453617206167,4.0 milliliter,4.0,4,0.09,2019-10-30T19_19_05.368929+00_00_LBL_G11
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.06599999999999999,2019-11-01T13_24_43.222072+00_00_LBL_A1
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.015,2019-11-01T13_24_43.222072+00_00_LBL_C1
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.018000000000000002,2019-11-01T13_24_43.222072+00_00_LBL_E1
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.056,2019-11-01T13_24_43.222072+00_00_LBL_G1
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.064,2019-11-01T13_24_43.222072+00_00_LBL_A3
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.06499999999999999,2019-11-01T13_24_43.222072+00_00_LBL_C3
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.014,2019-11-01T13_24_43.222072+00_00_LBL_E3
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.018999999999999996,2019-11-01T13_24_43.222072+00_00_LBL_G3
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.09099999999999998,2019-11-01T13_24_43.222072+00_00_LBL_A5
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.09,2019-11-01T13_24_43.222072+00_00_LBL_C5
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.06899999999999999,2019-11-01T13_24_43.222072+00_00_LBL_E5
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.014,2019-11-01T13_24_43.222072+00_00_LBL_G5
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.052,2019-11-01T13_24_43.222072+00_00_LBL_A7
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.007,2019-11-01T13_24_43.222072+00_00_LBL_C7
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.11299999999999999,2019-11-01T13_24_43.222072+00_00_LBL_E7
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.103,2019-11-01T13_24_43.222072+00_00_LBL_G7
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.004,2019-11-01T13_24_43.222072+00_00_LBL_A9
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.008,2019-11-01T13_24_43.222072+00_00_LBL_C9
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.003,2019-11-01T13_24_43.222072+00_00_LBL_E9
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.046,2019-11-01T13_24_43.222072+00_00_LBL_G9
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.06499999999999999,2019-11-01T13_24_43.222072+00_00_LBL_A11
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.009999999999999998,2019-11-01T13_24_43.222072+00_00_LBL_C11
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.036000000000000004,2019-11-01T13_24_43.222072+00_00_LBL_E11
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.082,2019-11-01T13_24_43.222072+00_00_LBL_G11
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.008,2019-11-11T16_11_56.387734+00_00_LBL_A1
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.043,2019-11-11T16_11_56.387734+00_00_LBL_C1
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.009000000000000001,2019-11-11T16_11_56.387734+00_00_LBL_E1
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.004999999999999999,2019-11-11T16_11_56.387734+00_00_LBL_G1
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.043,2019-11-11T16_11_56.387734+00_00_LBL_A3
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.083,2019-11-11T16_11_56.387734+00_00_LBL_C3
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.004,2019-11-11T16_11_56.387734+00_00_LBL_E3
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.018999999999999996,2019-11-11T16_11_56.387734+00_00_LBL_G3
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.03,2019-11-11T16_11_56.387734+00_00_LBL_A5
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.03,2019-11-11T16_11_56.387734+00_00_LBL_C5
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.017,2019-11-11T16_11_56.387734+00_00_LBL_E5
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.011,2019-11-11T16_11_56.387734+00_00_LBL_G5
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.075,2019-11-11T16_11_56.387734+00_00_LBL_A7
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.048,2019-11-11T16_11_56.387734+00_00_LBL_C7
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.047,2019-11-11T16_11_56.387734+00_00_LBL_E7
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.009000000000000001,2019-11-11T16_11_56.387734+00_00_LBL_G7
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.126,2019-11-11T16_11_56.387734+00_00_LBL_A9
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.004999999999999999,2019-11-11T16_11_56.387734+00_00_LBL_C9
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.017,2019-11-11T16_11_56.387734+00_00_LBL_G9
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.003,2019-11-11T16_11_56.387734+00_00_LBL_A11
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.022,2019-11-11T16_11_56.387734+00_00_LBL_C11
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.054,2019-11-11T16_11_56.387734+00_00_LBL_E11
Formic_Acid,26.50445361720617,6.0 milliliter,6.0,4,0.001,2019-11-11T16_11_56.387734+00_00_LBL_G11
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.159,2019-11-11T16_17_45.714515+00_00_LBL_A1
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.049,2019-11-11T16_17_45.714515+00_00_LBL_C1
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.016,2019-11-11T16_17_45.714515+00_00_LBL_E1
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.001,2019-11-11T16_17_45.714515+00_00_LBL_G1
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.018999999999999996,2019-11-11T16_17_45.714515+00_00_LBL_A3
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.001,2019-11-11T16_17_45.714515+00_00_LBL_C3
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.05499999999999999,2019-11-11T16_17_45.714515+00_00_LBL_G3
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.003,2019-11-11T16_17_45.714515+00_00_LBL_A5
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.06999999999999999,2019-11-11T16_17_45.714515+00_00_LBL_C5
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.064,2019-11-11T16_17_45.714515+00_00_LBL_E5
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.015,2019-11-11T16_17_45.714515+00_00_LBL_G5
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.074,2019-11-11T16_17_45.714515+00_00_LBL_A7
Formic_Acid,26.50445361720617,5.0 milliliter,5.0,4,0.002,2019-11-11T16_17_45.714515+00_00_LBL_C7
