chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__1,4-Benzene diammonium iodide (M)","prepare__1,4-Benzene diammonium iodide",molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.002,2021-05-19T16_23_27.948542+00_00_HC_A1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.018000000000000002,2021-05-19T16_23_27.948542+00_00_HC_C1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.112,2021-05-19T16_23_27.948542+00_00_HC_E1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.002,2021-05-19T16_23_27.948542+00_00_HC_G1
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.047,2021-05-19T16_23_27.948542+00_00_HC_A3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.064,2021-05-19T16_23_27.948542+00_00_HC_C3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.054,2021-05-19T16_23_27.948542+00_00_HC_E3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.112,2021-05-19T16_23_27.948542+00_00_HC_G3
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.039999999999999994,2021-05-19T16_23_27.948542+00_00_HC_A5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.034999999999999996,2021-05-19T16_23_27.948542+00_00_HC_C5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.023,2021-05-19T16_23_27.948542+00_00_HC_E5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.097,2021-05-19T16_23_27.948542+00_00_HC_G5
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.007,2021-05-19T16_23_27.948542+00_00_HC_A7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.016,2021-05-19T16_23_27.948542+00_00_HC_C7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.003,2021-05-19T16_23_27.948542+00_00_HC_E7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.001,2021-05-19T16_23_27.948542+00_00_HC_G7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.001,2021-05-19T16_23_27.948542+00_00_HC_A9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.20099999999999998,2021-05-19T16_23_27.948542+00_00_HC_C9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.094,2021-05-19T16_23_27.948542+00_00_HC_E9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.082,2021-05-19T16_23_27.948542+00_00_HC_G9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.014,2021-05-19T16_23_27.948542+00_00_HC_A11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.039999999999999994,2021-05-19T16_23_27.948542+00_00_HC_C11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.092,2021-05-19T16_23_27.948542+00_00_HC_E11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide__Lead_Diiodide",0.9549203086162699,2.728 gram,1.2494201617768477,2.818 gram,10.337591515237728,4.55 milliliter,6.196791590378119,1,0.029,2021-05-19T16_23_27.948542+00_00_HC_G11
