chemsys,"molarity__1,4-Benzene diammonium iodide (M)","prepare__1,4-Benzene diammonium iodide",molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.07999999999999999,2021-05-19T16_23_27.948542+00_00_HC_A7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.207,2021-05-19T16_23_27.948542+00_00_HC_C7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.053,2021-05-19T16_23_27.948542+00_00_HC_E7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.12,2021-05-19T16_23_27.948542+00_00_HC_G7
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.16099999999999998,2021-05-19T16_23_27.948542+00_00_HC_A9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.014,2021-05-19T16_23_27.948542+00_00_HC_C9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.078,2021-05-19T16_23_27.948542+00_00_HC_E9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.078,2021-05-19T16_23_27.948542+00_00_HC_G9
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.116,2021-05-19T16_23_27.948542+00_00_HC_A11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.014,2021-05-19T16_23_27.948542+00_00_HC_C11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.058,2021-05-19T16_23_27.948542+00_00_HC_E11
"1,4-Benzene_diammonium_iodide__Dimethyl_sulfoxide",1.2108009726178233,2.72 gram,11.428310529539951,5.01 milliliter,6.172065896826491,2,0.112,2021-05-19T16_23_27.948542+00_00_HC_G11
