chemsys,molarity__Dichloromethane (M),prepare__Dichloromethane,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_E9
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_G9
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_A11
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_C11
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_E11
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-05-30T20_58_22.535516+00_00_LBL_G11
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_A1
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_C1
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_E1
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_G1
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_A3
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_C3
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_E3
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_G3
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_A5
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_C5
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_E5
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_G5
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_A7
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_C7
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_E7
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_G7
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_A9
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_C9
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_E9
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_G9
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_A11
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_C11
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_E11
Dichloromethane,15.659955257270695,30.0 milliliter,30.0,6,1.0,2019-06-19T14_53_44.342960+00_00_LBL_G11
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_A1
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_C1
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_E1
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_G1
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_A3
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_C3
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_E3
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_G3
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_A5
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_C5
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_E5
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_G5
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_A7
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_C7
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_E7
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_G7
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_A9
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_C9
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_E9
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_G9
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_A11
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_C11
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_E11
Dichloromethane,15.659955257270694,27.0 milliliter,27.0,6,1.0,2019-06-19T15_03_07.301134+00_00_LBL_G11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_A1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_C1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_E1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_G1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_A3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_C3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_E3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_G3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_A5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_C5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_E5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_G5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_A7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_C7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_E7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_G7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_A9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_C9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_E9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_G9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_A11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_C11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_E11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-10-30T19_19_05.368929+00_00_LBL_G11
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_A1
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_C1
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_E1
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_G1
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_A3
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_C3
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_E3
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_G3
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_A5
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_C5
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_E5
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_G5
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_A7
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_C7
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_E7
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_G7
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_A9
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_C9
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_E9
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_G9
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_A11
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_C11
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_E11
Dichloromethane,15.659955257270692,25.0 milliliter,25.0,6,0.6,2019-11-01T13_24_43.222072+00_00_LBL_G11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_A1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_C1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_E1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_G1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_A3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_C3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_E3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_G3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_A5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_C5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_E5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_G5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_A7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_C7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_E7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_G7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_A9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_C9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_E9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_G9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_A11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_C11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_E11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_11_56.387734+00_00_LBL_G11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_A1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_C1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_E1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_G1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_A3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_C3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_E3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_G3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_A5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_C5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_E5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_G5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_A7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_C7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_E7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_G7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_A9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_C9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_E9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_G9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_A11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_C11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_E11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-11T16_17_45.714515+00_00_LBL_G11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_A1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_C1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_E1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_G1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_A3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_C3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_E3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_G3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_A5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_C5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_E5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_G5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_A7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_C7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_E7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_G7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_A9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_C9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_E9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_G9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_A11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_C11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_E11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_01_42.850106+00_00_LBL_G11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_A1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_C1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_E1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_G1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_A3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_C3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_E3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_G3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_A5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_C5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_E5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_G5
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_A7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_C7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_E7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_G7
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_A9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_C9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_E9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_G9
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_A11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_C11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_E11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-11-19T18_11_24.347682+00_00_LBL_G11
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-12-03T14_26_34.696140+00_00_LBL_A1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-12-03T14_26_34.696140+00_00_LBL_C1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-12-03T14_26_34.696140+00_00_LBL_E1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-12-03T14_26_34.696140+00_00_LBL_G1
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-12-03T14_26_34.696140+00_00_LBL_A3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-12-03T14_26_34.696140+00_00_LBL_C3
Dichloromethane,15.659955257270694,20.0 milliliter,20.0,6,0.6,2019-12-03T14_26_34.696140+00_00_LBL_E3
