chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,"molarity__1,3-Diaminopropane Dihydroiodide (M)","prepare__1,3-Diaminopropane Dihydroiodide",molarity__Dimethylformamide (M),prepare__Dimethylformamide,molarity__Dimethyl sulfoxide (M),prepare__Dimethyl sulfoxide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.111,2020-06-30T14_02_45.381323+00_00_LBL_A7
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.118,2020-06-30T14_02_45.381323+00_00_LBL_C7
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.136,2020-06-30T14_02_45.381323+00_00_LBL_E7
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.116,2020-06-30T14_02_45.381323+00_00_LBL_G7
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.158,2020-06-30T14_02_45.381323+00_00_LBL_A9
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.06499999999999999,2020-06-30T14_02_45.381323+00_00_LBL_C9
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.019999999999999997,2020-06-30T14_02_45.381323+00_00_LBL_E9
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.159,2020-06-30T14_02_45.381323+00_00_LBL_G9
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.056999999999999995,2020-06-30T14_02_45.381323+00_00_LBL_A11
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.053,2020-06-30T14_02_45.381323+00_00_LBL_C11
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.008,2020-06-30T14_02_45.381323+00_00_LBL_E11
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",1.064105036337931,5.01 gram,0.8107550848147456,2.732 gram,5.121141306184288,4.05 milliliter,5.583249077893302,4.05 milliliter,10.21275424077454,1,0.08099999999999999,2020-06-30T14_02_45.381323+00_00_LBL_G11
"1,3-Diaminopropane_Dihydroiodide__Dimethyl_sulfoxide__Dimethylformamide__Lead_Diiodide",0.49102031146000386,0.1549 gram,0.7369933597744623,0.1664 gram,5.472817938381643,0.29 milliliter,5.966659359906295,0.29 milliliter,0.6842922388630946,3,0.18,2020-07-06T15_27_13.995342+00_00_HC_E1
