chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Ethylammonium Iodide (M),prepare__Ethylammonium Iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.416,2019-05-30T20_58_22.535516+00_00_LBL_G5
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.06999999999999999,2019-05-30T20_58_22.535516+00_00_LBL_A7
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.16199999999999998,2019-05-30T20_58_22.535516+00_00_LBL_C7
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.06599999999999999,2019-05-30T20_58_22.535516+00_00_LBL_E7
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.254,2019-05-30T20_58_22.535516+00_00_LBL_G7
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.43,2019-05-30T20_58_22.535516+00_00_LBL_A9
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.003,2019-05-30T20_58_22.535516+00_00_LBL_C9
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.40199999999999997,2019-05-30T20_58_22.535516+00_00_LBL_E9
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.11399999999999999,2019-05-30T20_58_22.535516+00_00_LBL_G9
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.312,2019-05-30T20_58_22.535516+00_00_LBL_A11
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.075,2019-05-30T20_58_22.535516+00_00_LBL_C11
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.416,2019-05-30T20_58_22.535516+00_00_LBL_E11
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,1.055071956540131,5.914 gram,2.2049347739673433,4.638 gram,9.565637950233638,8.94 milliliter,12.158749034863904,1,0.07599999999999998,2019-05-30T20_58_22.535516+00_00_LBL_G11
Ethylammonium_Iodide__Gamma-Butyrolactone__Lead_Diiodide,0.5279332816438405,0.1658 gram,0.7721472878921972,0.091 gram,11.649304865750663,0.61 milliliter,0.6812321547221187,0,0.18,2020-06-26T13_48_04.144007+00_00_HC_A1
