reaction identifier,formic acid molarity in alpha vial (M)
2020-01-17T15_31_16.708198+00_00_LBL_A3,14.8425
2020-01-17T15_31_16.708198+00_00_LBL_C5,10.3560
2020-01-17T15_31_16.708198+00_00_LBL_E5,11.6620
2020-01-17T15_31_16.708198+00_00_LBL_G5,13.3400
2020-01-17T15_31_16.708198+00_00_LBL_A9,11.3845
2020-01-25T22_08_57.268862+00_00_LBL_C1,10.3367
2020-01-25T22_08_57.268862+00_00_LBL_E5,10.0717
2020-01-25T22_08_57.268862+00_00_LBL_E7,11.2841
2020-01-25T22_08_57.268862+00_00_LBL_G11,13.5173
2020-01-25T22_09_56.031008+00_00_LBL_A7,11.9270
2020-01-25T22_09_56.031008+00_00_LBL_G9,14.6955
2020-01-25T22_09_56.031008+00_00_LBL_E11,12.4571
2020-02-04T21_45_51.450525+00_00_LBL_C3,11.7603
2020-02-04T21_45_51.450525+00_00_LBL_G5,10.4251
2020-02-04T21_45_51.450525+00_00_LBL_A7,10.4251
2020-02-04T21_45_51.450525+00_00_LBL_E9,14.3124
2020-02-05T15_44_25.589623+00_00_LBL_E5,10.4251
2020-02-05T15_44_25.589623+00_00_LBL_A7,14.6658
2020-02-05T15_50_02.982946+00_00_LBL_E1,10.2484
2020-02-05T15_50_02.982946+00_00_LBL_A5,11.1319
2020-02-05T15_50_02.982946+00_00_LBL_G7,10.9552
2020-02-05T15_50_02.982946+00_00_LBL_G11,13.1633
2020-02-05T15_53_46.082709+00_00_LBL_E1,11.2337
2020-02-05T15_53_46.082709+00_00_LBL_A3,13.4289
2020-02-05T15_53_46.082709+00_00_LBL_E3,13.7823
2020-02-05T15_53_46.082709+00_00_LBL_A5,13.0755
2020-02-05T15_53_46.082709+00_00_LBL_C11,13.0755
2020-06-23T21_04_02.046005+00_00_LBL_A5,13.0524
2020-06-23T21_04_02.046005+00_00_LBL_E5,12.6529
2020-06-23T21_04_02.046005+00_00_LBL_G5,10.7343
2020-06-23T21_04_02.046005+00_00_LBL_A7,13.3847
2020-06-23T21_04_02.046005+00_00_LBL_E9,13.3847
2020-06-23T21_04_02.046005+00_00_LBL_G9,13.9148
2020-06-23T21_04_02.046005+00_00_LBL_E11,12.3951
2020-06-30T14_02_45.381323+00_00_LBL_E3,10.1600
2020-06-30T14_02_45.381323+00_00_LBL_C7,12.5038
2020-06-30T14_02_45.381323+00_00_LBL_A9,11.2202
2020-06-30T14_02_45.381323+00_00_LBL_A11,10.0717
2020-06-30T14_02_45.381323+00_00_LBL_E11,13.1201
2020-06-30T14_11_13.204513+00_00_LBL_G7,14.0474
2020-06-30T14_11_13.204513+00_00_LBL_C9,10.3367
2020-06-30T14_11_13.204513+00_00_LBL_A11,12.1920
2020-06-30T14_11_13.204513+00_00_LBL_G11,11.2084
2020-08-31T19_02_49.077710+00_00_LBL_A1,15.9665
2020-08-31T19_02_49.077710+00_00_LBL_E3,12.7221
2020-08-31T19_02_49.077710+00_00_LBL_C7,12.7221
2020-08-31T19_02_49.077710+00_00_LBL_G9,12.7732
2020-08-31T19_05_41.411169+00_00_LBL_A1,12.7221
2020-08-31T19_05_41.411169+00_00_LBL_C1,15.9027
2020-08-31T19_05_41.411169+00_00_LBL_A9,12.7221
2020-08-31T19_05_41.411169+00_00_LBL_C9,15.9665
2020-08-31T19_05_41.411169+00_00_LBL_E11,12.7221
2020-09-15T14_10_13.620997+00_00_LBL_A1,13.4643
2020-09-15T14_10_13.620997+00_00_LBL_C3,12.6161
2020-09-15T14_10_13.620997+00_00_LBL_A5,10.9198
2020-09-30T22_37_01.541801+00_00_LBL_A1,15.9665
2020-09-30T22_37_01.541801+00_00_LBL_E3,12.7221
2020-09-30T22_37_01.541801+00_00_LBL_C7,12.7221
2020-09-30T22_37_01.541801+00_00_LBL_G9,12.7732
2020-09-30T22_41_17.964934+00_00_LBL_A1,12.7221
2020-09-30T22_41_17.964934+00_00_LBL_C1,15.9027
2020-09-30T22_41_17.964934+00_00_LBL_A9,12.7221
2020-09-30T22_41_17.964934+00_00_LBL_C9,15.9665
2020-09-30T22_41_17.964934+00_00_LBL_E11,12.7221
2020-10-15T12_37_30.672258+00_00_LBL_C1,11.8152
2020-10-15T12_37_30.672258+00_00_LBL_E3,10.0316
2020-10-15T12_37_30.672258+00_00_LBL_A5,10.0717
2020-10-15T12_37_30.672258+00_00_LBL_C5,15.1605
2020-10-15T12_37_30.672258+00_00_LBL_G7,10.0717
2020-10-15T12_37_30.672258+00_00_LBL_A11,10.9198
2020-10-15T12_38_48.132749+00_00_LBL_G1,14.3124
2020-10-15T12_38_48.132749+00_00_LBL_C3,14.3124
2020-10-15T12_38_48.132749+00_00_LBL_E7,12.5659
2020-10-15T12_38_48.132749+00_00_LBL_E11,12.6161
2021-01-04T15_33_31.566896+00_00_LBL_A1,11.5736
2021-01-04T15_33_31.566896+00_00_LBL_G7,10.7427
2021-01-11T16_37_07.842037+00_00_LBL_E1,14.0943
2021-02-08T21_20_17.803967+00_00_HC_E1,11.2337
2021-02-08T21_20_17.803967+00_00_HC_A3,13.4289
2021-02-08T21_20_17.803967+00_00_HC_E3,13.7823
2021-02-08T21_20_17.803967+00_00_HC_A5,13.0755
2021-02-08T21_20_17.803967+00_00_HC_C11,13.0755
2021-03-11T15_34_05.927968+00_00_LBL_C5,14.0474
2021-03-11T15_34_05.927968+00_00_LBL_A11,12.4571
2021-03-11T15_34_05.927968+00_00_LBL_E11,14.1799
2021-03-12T18_02_56.329616+00_00_HC_C5,14.0474
2021-03-12T18_02_56.329616+00_00_HC_A11,12.4571
2021-03-12T18_02_56.329616+00_00_HC_E11,14.1799
2021-03-15T16_04_45.792121+00_00_HC_A5,12.4041
2021-03-15T16_04_45.792121+00_00_HC_G7,12.1346
2021-03-15T16_04_45.792121+00_00_HC_C9,11.0259
2021-03-15T16_04_45.792121+00_00_HC_C11,12.5101
2021-03-16T15_21_33.108346+00_00_HC_G1,12.1435
2021-03-16T15_21_33.108346+00_00_HC_G3,13.8883
2021-03-16T15_21_33.108346+00_00_HC_C5,12.2491
2021-03-16T15_21_33.108346+00_00_HC_A7,13.4106
2021-03-16T15_21_33.108346+00_00_HC_C9,11.7211
2021-03-16T15_21_33.108346+00_00_HC_E9,12.2491
2021-03-16T15_21_33.108346+00_00_HC_C11,13.2522
2021-04-12T14_57_39.206341+00_00_LBL_A5,12.4041
2021-04-12T14_57_39.206341+00_00_LBL_G7,12.1346
2021-04-12T14_57_39.206341+00_00_LBL_C9,11.0259
2021-04-12T14_57_39.206341+00_00_LBL_C11,12.5101
2021-04-13T16_48_39.165116+00_00_HC_A5,12.4041
2021-04-13T16_48_39.165116+00_00_HC_G7,12.1346
2021-04-13T16_48_39.165116+00_00_HC_C9,11.0259
2021-04-13T16_48_39.165116+00_00_HC_C11,12.5101
2021-05-07T15_59_56.954948+00_00_HC_A5,12.4041
2021-05-07T15_59_56.954948+00_00_HC_G7,12.1346
2021-05-07T15_59_56.954948+00_00_HC_C9,11.0259
2021-05-07T15_59_56.954948+00_00_HC_C11,12.5101
2021-05-12T16_02_04.291158+00_00_LBL_A5,12.4041
2021-05-12T16_02_04.291158+00_00_LBL_G7,12.1346
2021-05-12T16_02_04.291158+00_00_LBL_C9,11.0259
2021-05-12T16_02_04.291158+00_00_LBL_C11,12.5101
2021-05-12T17_53_13.165008+00_00_HC_A5,12.4041
2021-05-12T17_53_13.165008+00_00_HC_G7,12.1346
2021-05-12T17_53_13.165008+00_00_HC_C9,11.0259
2021-05-12T17_53_13.165008+00_00_HC_C11,12.5101
2021-05-17T18_21_49.529476+00_00_HC_A9,13.3582
2021-05-19T16_23_27.948542+00_00_HC_E7,11.9800
2021-05-19T16_23_27.948542+00_00_HC_G7,10.9198
2021-05-24T15_50_13.712202+00_00_HC_A5,14.4184
2021-05-24T15_50_13.712202+00_00_HC_E7,10.1777
2021-05-24T15_50_13.712202+00_00_HC_A9,14.4666
2021-05-24T15_50_13.712202+00_00_HC_C9,14.3699
